WikiTeam,WikiKey,FDTeam,FDKey,Method
Aalesund,aalesund,Aalesund,aalesund,canonical_exact
Bodø/Glimt,bodo_glimt,Bodo/Glimt,bodo_glimt,canonical_exact
Brann,brann,Brann,brann,canonical_exact
HamKam,hamkam,Ham-Kam,hamkam,canonical_exact
Haugesund,haugesund,Haugesund,haugesund,canonical_exact
Lillestrøm,lillestrom,Lillestrom,lillestrom,canonical_exact
Molde,molde,Molde,molde,canonical_exact
Odd,odd,Odd,odd,canonical_exact
Rosenborg,rosenborg,Rosenborg,rosenborg,canonical_exact
Sandefjord,sandefjord,Sandefjord,sandefjord,canonical_exact
Sarpsborg,sarpsborg_08,Sarpsborg 08,sarpsborg_08,canonical_exact
Stabæk,stabaek,Stabaek,stabaek,canonical_exact
Strømsgodset,stromsgodset,Stromsgodset,stromsgodset,canonical_exact
Tromsø,tromso,Tromso,tromso,canonical_exact
Vålerenga,valerenga,Valerenga,valerenga,canonical_exact
Viking,viking,Viking,viking,canonical_exact
